id	acetate	adipic_acid	alanine	amorphadiene	ara	arginine	artemisinic_acid	asparagine	aspartate	astaxanthin	beta_amyrin	beta_carotene	beta_ionone	betaxanthin	caffeic_acid	catechin	choline	cinnamate	cinnamoyltropine	cis_muconate	citrate	citrulline	coumaric_acid	cysteine	dha	docosanol	epa	ergosterol	ergothioneine	farnesene	ffas	fumaric_acid	genistein	geraniol	glutamate	glutamine	glutathione	glycerol	glycine	glycolate	glycyrrhetinic_acid	hexanoate	histidine	homoserine	hydroxymandelic_acid	hypoxanthine	isobutanol	isoleucine	itaconic_acid	kaempferol	l_pac	lactate	laurate	leucine	limonene	linalool	lupeol	lycopene	lysine	malate	mandelic_acid	methionine	methylbutanol	miltiradiene	n_butanol	naringenin	nicotianamine	nootkatone	oleanolate	oleate	ornithine	oxoglutarate	palmitoleate	patchoulol	phenylalanine	phenylethanol	proline	protopanaxadiol	psilocybin	putrescine	pyruvate	quercetin	resveratrol	rosmarinic_acid	rrbutanediol	s_reticuline	salidroside	santalene	serine	spermine	squalene	succinate	taxadien_acetate	threonine	triacylglycerol	tryptophan	tyrosine	tyrosol	valencene	valine	vanillin_glucoside	xanthine
YBR020W																																																																																																						
YBR021W																																																																																																						
YBR023C																																																																																																						
YBR026C																																																																																																						
YBR029C			0.40																																		0.40		0.40								0.40																																											0.40		0.40								0.40		
YBR034C																																																																																																						
YBR035C																																																																																																						
YBR036C																																																																																																						
YBR038W																																																																																																						
YBR039W																																														1.00																																																								
YBR041W																																																																																																						
YBR042C																																																																																																						
YBR058C-A																																																																																																						
YBR068C																																																																																																						
YBR069C																																																																																																						
YBR084W																																																																																																						
YBR085W																																																																																																						
YBR092C																																																																																																						
YBR093C																																																																																																						
YBR097W																																																																																																						
YBR110W																																																																																																						
YBR115C																																																											1.00																												0.00											0.00				
YBR117C																							0.00																																										0.00																			0.00						0.00												
YBR121C																																																																																																						
YBR126C																																																																																																						
YBR127C																																																																																																						
YBR132C																																																																																																						
YBR145W																																																																																																						
YBR149W																																																																																																						
YBR153W																																																																																																						
YBR159W																																																																																																						
YBR161W																																																																																																						
YBR166C																							1.00																						1.00																																						1.00	1.00																		
YBR176W																																																																																																						
YBR180W																																																																																																						
YBR183W																																																																																																						
YBR192W																																																																																																						
YBR196C																																					0.40																																																																	
YBR199W																																																																																																						
YBR204C																																																																																																						
YBR205W																																																																																																						
YBR208C																																																																																																						
YBR213W																																																																																																						
YBR218C																																										0.00																																													0.00											0.00				
YBR221C				1.00		1.00	1.00				1.00											1.00						1.00		1.00				1.00		1.00	1.00		0.00	1.00									1.00				0.00	1.00	1.00				1.00				1.00		1.00												1.00			1.00								1.00		1.00	1.00	0.00										
YBR244W																																																																																																						
YBR248C																																											1.00																																																											
YBR249C		1.00																1.00		1.00																									1.00																1.00														1.00	1.00																				1.00						
YBR252W																																																																																																						
YBR256C																																																																																																						
YBR263W									0.40																										0.40				0.00								0.40						0.40												0.40						0.40	0.40												0.40	0.40															0.40		
YBR265W																																																																																																						
YBR291C																																																																																																						
YBR293W																																																																																																						
YBR294W																																																																																																						
YBR296C																																																																																																						
YBR298C																																																																																																						
YBR299W																																																																																																						
YCL004W																																																																																																						
YCL009C																																																																																							0.00											0.00				
YCL018W																																																						1.00									1.00																								0.00											0.00				
YCL025C																																																																																																						
YCL030C																																											1.00																																																											
YCL035C																																																																																																						
YCL038C																																																																																																						
YCL040W	0.00								0.00												0.00		0.00									0.00			0.00					0.00		0.00																		0.00												0.00											0.00							0.00												0.00
YCL050C																								1.00													1.00																									1.00																									0.00											0.00				
YCL052C																																																																																																						
YCL064C																																																																																									0.00													
YCL069W																																																																																																						
YCR005C																																										0.00																																																												
YCR010C																																																																																																						
YCR012W																																																																																																						
YCR024C																																																																																																						
YCR024C-A																																																																																																						
YCR028C																																																																																																						
YCR034W																																																																																																						
YCR036W																																																																																																						
YCR037C																																																																																																						
YCR048W																												0.40																									0.40																		0.40																			0.40	0.40											
YCR053W	1.00				0.40				0.40										0.40						0.40		0.40												1.00	1.00																						1.00			1.00																						0.00							1.00				0.00				
YCR075C																																																																																																						
YCR083W																																																																																																						
YCR098C																																																																																																						
YCR105W																																																																	1.00																																					
YDL004W																																														1.00																																																								
YDL015C																																																																																																						
YDL022W																																																																							0.40																															
YDL042C																																																																																																						
YDL045C																																																																																																						
YDL052C			0.40																																		0.40		0.40								0.40																																											0.40										0.40		
YDL055C																																																																																																						
YDL066W	0.40		0.40		0.40				0.40	0.40		0.40	0.40		0.40	0.40			0.40		0.40	0.40	0.40		0.40	0.40	0.40	0.40	0.40			0.40	0.40			0.40	0.40		0.00	0.00	0.40	0.00		0.40		0.40				0.40	0.40		0.40			0.40	0.40	0.40	0.00	0.40				0.40	0.40	0.40	0.40	0.40	0.40		0.40			0.40			0.40	0.40	0.40	0.40	0.40	0.40		0.40	0.40	0.40	0.00			0.40			0.40					0.00	0.40	0.40	0.40	
YDL067C																																																																																	1.00																					
YDL078C																																																																																																						
YDL080C																																																															1.00																																							
YDL085W																																																																																																						
YDL090C																																																																																																						
YDL093W																																																																																																						
YDL095W																																																																																																						
YDL100C																																																																																																						
YDL103C																																																																																																						
YDL131W																																																											1.00																												0.00											0.00				
YDL141W									0.40																						1.00						0.40					1.00						0.40				0.40																		1.00			1.00							0.40																						
YDL142C																																																																																																						
YDL168W																																					0.00																																																																	
YDL171C																																							1.00																																	0.00																														
YDL174C																																																																																																						
YDL178W																																																																																																						
YDL182W																																																																																																						
YDL185W																																																																																																						
YDL198C																																																																																																						
YDL205C									0.40																																																																																													
YDL210W																																																																																																						
YDL215C																																			0.00																																																																			
YDL238C																																																																																																						1.00
YDL245C																																																																																																						
YDL247W																																																																																																						
YDR001C																																																																																																						
YDR007W																																																																																																1.00						
YDR017C																																																																																																						
YDR019C																																							0.00															0.00					0.00				0.40																																							
YDR023W																																																																																																						
YDR035W																																																																																																						
YDR037W																																																																																																						
YDR044W									0.40																																																																																													
YDR046C																																																																																																						
YDR047W									0.40																																																																																													
YDR050C																																																																																																						
YDR058C																																																																																																						
YDR062W																																																																																																						
YDR072C																																																																																																						
YDR074W																																																																																																						
YDR098C																																																																																																						
YDR127W																		1.00					1.00																						1.00																1.00														1.00	1.00								1.00												1.00						
YDR135C																																																																																																						
YDR147W																																																																																																						
YDR148C	0.00											0.00									0.00											0.40							0.00	0.00														0.00			0.00		0.00	0.40			0.00					0.00	0.00			0.00		0.00																									0.00			
YDR158W	1.00				0.40														0.40						0.40		0.40												1.00	1.00				1.00																		1.00			1.00																						0.00							1.00				0.00				
YDR173C																																																																																																						
YDR178W																																																																																																						
YDR191W																																																																																																						
YDR196C																																																																																																						
YDR204W																																																																																																						
YDR208W																																																																																																						
YDR226W																																																																	0.40																						0.40				0.40							0.40				
YDR232W									0.40																																																																																													
YDR234W																																																																																							0.00											0.00				
YDR236C																																																																																																						
YDR256C																																																																																																						
YDR261C																																																																																																						
YDR268W																																																																																																						
YDR272W																																																																																																						
YDR284C																																																																																																						
YDR287W																																																																																																						
YDR294C																																																																																																						
YDR297W																																																																																																						
YDR298C																																														1.00																																																								
YDR300C																																			0.00																1.00																																				0.00											0.00				
YDR302W																																																																																																						
YDR305C																																																																																																						
YDR315C																																																																																																						
YDR321W																																																																																																						
YDR322C-A																																														1.00																																																								
YDR341C																																																																																																						
YDR342C																																																																																																						
YDR343C																																																																																																						
YDR345C																																																																																																						
YDR353W																								1.00													1.00																									1.00																																								
YDR354W																																																																																																1.00						
YDR367W																																																																																																						
YDR368W																																																																																																						
YDR373W																																																																																																						
YDR376W																																																																																																						
YDR377W																																														1.00																																																								
YDR380W																																																																	1.00											1.00																										
YDR384C																																																																																																						
YDR399W																																																																																																						
YDR400W																																																																																																						
YDR402C																																																																																																						
YDR403W																																																																																																	0.00					
YDR408C																																														1.00																																																								1.00
YDR428C																																																																																																						
YDR453C																																																																																																						
YDR454C									0.40												0.40											0.40																												0.40																																										
YDR481C																																																																																																						
YDR483W																																																																																																						
YDR487C																																																																																																						
YDR497C																																																																																																						
YDR502C																																																																																																						
YDR503C		0.40	0.40	0.40		0.40	0.40	0.40	0.40		0.40							0.40		0.40	0.40	0.40		0.40				0.40		0.40	0.40	0.40		0.40	0.40	0.40	0.40	0.40	0.40	0.40			0.40	0.40	0.40	0.40	0.40	0.40	0.40				0.40	0.40	0.40				0.40	0.40	0.40	0.40	0.40		0.40					0.40	0.40	0.40	0.40		0.40	0.40	0.40			0.40								0.40	0.40	0.40	0.40			0.40		0.40	0.40			0.40		0.40
YDR508C																																																																																																						
YDR513W																																																																																																						
YDR529C																																														1.00																																																								
YDR530C																																																																																																						
YDR531W																																																																																																						
YDR536W																																																																																																						
YEL006W																																																																																																						
YEL017C-A																																																																																																						
YEL021W									0.40																																																																																													
YEL024W																																														1.00																																																								
YEL027W																																																																																																						
YEL029C																																																																																																						
YEL038W																																																																																																						
YEL039C																																															0.40																																																					0.40		
YEL041W																																																																																																						
YEL042W																																																																																																						
YEL046C	1.00																																						1.00																																																															
YEL047C																																																																																																						
YEL051W																																																																																																						
YEL058W																																																																																																						
YEL063C																																																																																																						
YEL069C																																																																																																						
YEL071W																																																																																																						
YER003C																																																																																																						
YER005W																																																																																																						
YER014W									0.40																																																																																													
YER015W																																										0.00																																																												
YER019W																																																																																																						
YER023W																																																																													1.00																									
YER024W																																																																																																						
YER026C																																																																																																						
YER037W																																																																																																						
YER043C					0.40					0.40		0.40	0.40	0.40	0.40	0.40	1.00						0.40		0.40	0.40	0.40	1.00					0.40								0.40	0.40								0.40	0.40					0.40	0.40	0.40						0.40		0.40	0.40	0.40	0.40					0.40				0.40				0.40	0.40	0.40			0.40						0.40					0.40	0.40		0.40	
YER052C	1.00				0.40														0.40						0.40		0.40												1.00	1.00				1.00																		1.00			1.00																						0.00							1.00				0.00				
YER053C																																																																																																						
YER055C																																											1.00																																																											
YER056C																																																																																																						
YER060W																																																																																																						
YER060W-A																																																																																																						
YER061C																																																																																																						
YER062C																																						1.00																																																																
YER065C																																							1.00																																																															
YER069W	0.40		0.40		0.40	1.00	0.40	0.40	0.40	0.40	0.40	0.40	0.40	0.40	0.40	0.40	0.40		0.40		0.40	1.00	0.40	0.40	0.40	0.40	0.40	0.40	0.40		0.40	0.40	0.40		0.40	0.40	0.40	0.40			0.40	0.40	0.40	0.40		0.40	0.40	0.40	0.40	0.40	0.40	0.40				0.40	0.40	0.40		0.40		0.40		0.40		0.40	0.40	0.40	0.40	0.40		0.40	0.40	0.40			1.00	0.40	0.40	1.00		0.40	0.40	0.40	0.40	0.40	0.00		0.40	1.00		0.40	0.40	0.40				0.00	0.40	0.40	0.40	0.40
YER070W					0.00					0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00				0.00		0.00	0.00	0.00		0.00				0.00								0.00	0.00								0.00						0.00	0.00	0.00						0.00		0.00	0.00	0.00	0.00					0.00				0.00	0.00			0.00	0.00	0.00		0.00	0.00						0.00					0.00	0.00		0.00	
YER073W																																																																																																						
YER081W																							0.00																	0.00		0.00																																									0.00	0.00			0.00											0.00				
YER086W																																																														1.00			1.00																																					
YER090W																																																																																																1.00						
YER091C					0.40					0.40		0.40	0.40	0.40	0.40	0.40	1.00						0.40		0.40	0.40	0.40	1.00					0.40								0.40	0.40								0.40	0.40					0.40	0.40	0.40				1.00		0.40		0.40	0.40	0.40	0.40					0.40				0.40				0.40	0.40	0.40			0.00						0.40					0.00	0.40		0.40	
YER099C																																											1.00			1.00																																																		1.00						
YER119C																																																																																																						
YER152C																																																																																							0.00											0.00				
YER170W																																																																																																						
YER174C																																																																																																						
YER175C																																																																																																						
YER178W				1.00		1.00	1.00				1.00											1.00						1.00		1.00				1.00		1.00	1.00		0.00	1.00									1.00				0.00	1.00	1.00				1.00				1.00		1.00												1.00			1.00								1.00		1.00	1.00	0.00										
YER183C																																																																																																						
YFL001W																																																																																																						
YFL011W																																																																																																						
YFL017C																																																																																																						
YFL018C			0.40		0.40					0.40		0.40	0.40	0.40	0.40	0.40			0.40				0.40		0.40	0.40	0.40		0.40				0.40						0.00		0.40	0.40					0.40			0.40		0.40					0.40	0.40						0.40		0.40	0.40		0.40					0.40				0.40	0.40		0.40	0.40	0.40			0.40			0.40				0.40							0.40	0.40	
YFL022C																																																																																																						
YFL030W			0.00																																				1.00																																																															
YFL045C																																																																																																						
YFL053W																																																																																																						
YFL055W																																																																																																						
YFR015C																																																																																																						
YFR019W																																																																																																						
YFR025C									0.40																																		1.00																																																											
YFR030W																								1.00													1.00																									1.00																																								
YFR033C																																														1.00																																																								
YFR047C																																																																																																						
YFR053C									0.00												0.00											0.00			0.00					0.00		0.00				0.00			0.00											0.00												0.00											0.00							0.00		0.00										0.00
YGL001C									0.40																																																																																													
YGL008C																																																																																																						
YGL009C																																																																																							0.00											0.00				
YGL012W																												1.00																																																																										
YGL026C									0.40																																																																																							1.00						
YGL037C																																																																																																						
YGL040C									0.40																																																																																													
YGL055W																															1.00																																																																							
YGL062W																																1.00				1.00	1.00		1.00			0.00		1.00					1.00					1.00						1.00		1.00	1.00		1.00															1.00							0.00							1.00				0.00				
YGL063W																																																																																																						
YGL067W																																																																																																						
YGL077C																																																																																																						
YGL080W																																																																																																						
YGL084C																																																																																																						
YGL119W																																																																																																						
YGL125W																	1.00																																													1.00																									0.00											0.00				
YGL142C																																																																																																						
YGL148W																		1.00					1.00																						1.00																1.00														1.00	1.00								1.00												1.00						
YGL154C																																																											1.00																												0.00											0.00				
YGL184C																																																																																							0.00											0.00				
YGL186C																																																																																																						
YGL187C																																																																																																						
YGL191W																																																																																																						1.00
YGL202W																																																																																																						
YGL205W																																																																																																						
YGL224C																																																																																																						
YGL225W																																																																																																						
YGL234W																																														1.00																																																								1.00
YGL245W																																																																																																						
YGL248W																																																																																																						
YGL253W	0.00								0.00												0.00											0.00			0.00					0.00		0.00																		0.00												0.00											0.00							0.00		0.00										0.00
YGL256W																																																																																																						
YGR007W																																																																																																						
YGR010W																																																																																																						
YGR019W																																																																								0.00																														
YGR020C																																																																																																						
YGR032W																																																																																																						
YGR055W																																																																																																						
YGR060W									0.40																			1.00																																																																										
YGR061C																																														1.00																																																								1.00
YGR065C																																																																																																						
YGR087C																																							0.00																																																															
YGR088W																																																																																																						
YGR094W																																																																																																						
YGR096W																																																																																																						
YGR110W																																																																																																						
YGR121C																																																																																																						
YGR124W																																																																																																						
YGR138C																																																																																																						
YGR143W																																																																																																						
YGR155W																								1.00																																																																														
YGR157W																																																																																																						
YGR170W																																																																																																						
YGR171C																																																																																																						
YGR175C											1.00																	1.00																																																																										
YGR177C																																															0.00																																																							
YGR180C					0.00					0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00				0.00		0.00	0.00	0.00		0.00				0.00								0.00	0.00								0.00						0.00	0.00	0.00						0.00		0.00	0.00	0.00	0.00					0.00				0.00	0.00			0.00	0.00	0.00		0.00	0.00						0.00					0.00	0.00		0.00	
YGR183C																																														1.00																																																								
YGR185C																																																																																																						
YGR191W																																																																																																						
YGR192C																																																																																																						
YGR193C				1.00		1.00	1.00				1.00											1.00						1.00		1.00				1.00		1.00	1.00		0.00	1.00									1.00				0.00	1.00	1.00				1.00				1.00		1.00												1.00			1.00								1.00		1.00	1.00	0.00										
YGR194C																																																																																																						
YGR202C																																																																		0.00					0.00																0.00												0.00			
YGR204W									0.40																												0.40										0.40																																																							
YGR208W	0.00								0.40												0.40		0.00	1.00															1.00	0.00		0.00				1.00	0.40				0.00	0.40	0.40												0.40						0.40						0.40			0.40			0.00	0.00	0.40		0.00											0.00		0.40		
YGR209C																																																																																																						
YGR240C																																																																																																						
YGR243W																																																																																																						
YGR244C																																																																																																						
YGR247W																																																																																																						
YGR248W																																						0.00		0.00																																0.00																				0.00										
YGR254W																																																																																																						
YGR255C																																																																																																						
YGR256W																																						0.00		0.00																																0.00																														
YGR260W																																																																																																						
YGR264C																																																																																																						
YGR267C																																																																																																						
YGR277C																																																																																																						
YGR282C																																																																																																						
YGR286C																																																																																																						
YGR287C																																																																																																						
YGR289C																																																																																																						
YGR292W																																																																																																						
YHL003C																																																																																																						
YHL011C																																																																																																						
YHL016C																																																																																																						
YHL032C																																						0.00																																																																
YHL036W																																																																																																						
YHR001W-A																																														1.00																																																								
YHR002W																																																																																																						
YHR007C																												1.00																																																																										
YHR011W																																																																																									0.00													
YHR018C									0.40																																																																																													
YHR019C																																																																																																						
YHR020W																																																																																																						
YHR025W	1.00				0.40														0.40						0.40		0.40												1.00	1.00																						1.00			1.00																						0.00							1.00				0.00				
YHR026W																																																																																																						
YHR037W																																																																																																						
YHR039C-A																																																																																																						
YHR042W																												1.00																																																																										
YHR046C																																																																																																						
YHR051W																																																																																																						
YHR063C																																																																																																						
YHR067W																																																																																																						
YHR068W																																																																																																						
YHR072W																												1.00																																																																										
YHR074W																																																																																																						
YHR091C																																																																																																						
YHR092C																																																																																																						
YHR094C																																																																																																						
YHR096C																																																																																																						
YHR100C																																																																																																						
YHR104W																																																																																																						
YHR106W																																																																																																						
YHR123W																																																																		0.00					0.00							0.00									0.00												0.00			
YHR128W																																																																																																						
YHR137W																																																																																																						
YHR144C			0.40																																		0.40	0.40																																					0.40														0.40								0.40			0.40		
YHR162W																																																																																																						
YHR163W	0.00					1.00	1.00	1.00									1.00	1.00				1.00		1.00							1.00						1.00	0.00	0.00	0.00			1.00	1.00									1.00						1.00		1.00	1.00			1.00					1.00		0.00	1.00		1.00	1.00	1.00			1.00												0.00		1.00		1.00						
YHR174W																																																																																																						
YHR183W	0.00					1.00	1.00	1.00									1.00	1.00				1.00		1.00							1.00						1.00	0.00	0.00	0.00			1.00	1.00															1.00		1.00	1.00			1.00					1.00		0.00	1.00		1.00	1.00	1.00			1.00									1.00			0.00		1.00		1.00						
YHR190W											1.00																	1.00																																																															1.00											
YHR208W																																																																																																						
YHR216W																																																																																																						
YIL002C																																																																																																						
YIL006W																																																																																																						
YIL009W																																																																																																						
YIL010W																																																																																																						
YIL013C																																																																																																						
YIL020C																																											1.00																																																											
YIL053W																																																																																																						
YIL066C					0.00					0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00				0.00		0.00	0.00	0.00		0.00				0.00								0.00	0.00								0.00						0.00	0.00	0.00						0.00		0.00	0.00	0.00	0.00					0.00				0.00	0.00			0.00	0.00	0.00		0.00	0.00						0.00					0.00	0.00		0.00	
YIL074C	0.00																						0.00																1.00	0.00		0.00																																									0.00	0.00			0.00											0.00				
YIL078W																																																																																																						
YIL083C																																																																																																						
YIL094C																																																											1.00																												0.00											0.00				
YIL099W																																																																																																						
YIL107C																																																																																																						
YIL111W																																																																																																						
YIL116W									0.40																																		1.00																																																											
YIL124W																																																																																																						
YIL125W												0.00									0.00											0.40							0.00	0.00														0.00			0.00		0.00	0.40			0.00					0.00	0.00			0.00		0.00																									0.00			
YIL134W																																																																																																						
YIL145C																																																																																																						
YIL155C																																																																																																						
YIL160C																																																																																																						
YIL162W																																																																																																						
YIL172C																																																																																																						
YIR027C																																																																																																						
YIR028W																																																																																																						
YIR029W																																																																																																						
YIR031C																																																																																																						
YIR032C																																																																																																						
YIR034C																																																											1.00																												0.00											0.00				
YIR037W																																																																																																						
YJL005W																																																																																																						
YJL026W																																																																																																						
YJL045W																																																																																																						
YJL052W																																																																																																						
YJL060W																																																																																																						
YJL068C																																																																																																						
YJL071W																																																																																																						
YJL088W						1.00																1.00																																																																	0.00											0.00				
YJL091C																																																																																																						
YJL097W																																																																																																						
YJL100W																																																																																																						
YJL101C																																			0.00		1.00																																																																	
YJL121C																																																																																																						
YJL129C																																																																																																						
YJL130C																																																																																							0.40											0.40				
YJL134W																																																																																																						
YJL137C																																																																																																						
YJL139C																																																																																																						
YJL153C																																																																																																						
YJL155C																																																																																																						
YJL166W																																														1.00																																																								
YJL167W				1.00			1.00				1.00																	1.00		1.00																																						1.00																				1.00			1.00								1.00			
YJL196C																																																																																																						
YJL198W																																																																																																						
YJL212C																																																																																																						
YJL214W																																																																																																						
YJL216C																																																																																																						
YJL219W																																																																																																						
YJL221C																																																																																																						
YJR001W																																																																																																						
YJR009C																																																																																																						
YJR010W																																																																																																						
YJR013W																																																																																																						
YJR016C																																																																																																						
YJR019C																																																																																																						
YJR025C																																																																																																						
YJR048W																																															0.40																																																					0.40		
YJR049C																																																																																																						
YJR057W																																																																																																						
YJR073C																																																																																																						
YJR077C																																																																																																						
YJR078W																																																																																																						
YJR095W																																																																																																						
YJR103W																																																																																																						
YJR105W					0.40					0.40		0.40	0.40	0.40	0.40	0.40									0.40	0.40	0.40	1.00					0.40								0.40	0.40								0.40	0.40					0.40	0.40	0.40						0.40		0.40	0.40	0.40	0.40					0.40				0.40				0.40	0.40	0.40			0.40						0.40					0.40	0.40		0.40	
YJR109C						1.00																1.00																																																																																
YJR110W																																																																																																						
YJR121W																																																																																																						
YJR130C																																																																																							0.00											0.00				
YJR133W																																																																																																						0.00
YJR137C																								1.00													1.00																									1.00																																								
YJR139C	1.00				0.40														0.40						0.40		0.40												1.00	1.00				1.00																		1.00			1.00																						0.00							1.00				0.00				
YJR143C																																																																																																						
YJR148W														0.40																																																																																								
YJR152W																																																																																																						
YJR153W																																																																																																						
YJR158W																																																																																																						
YJR159W																																																																																																						
YJR160C																																																																																																						
YKL001C																								1.00													1.00																									1.00																									0.00											0.00				
YKL004W																																																																																																						
YKL008C																																																																																																						
YKL016C																																														1.00																																																								
YKL019W																																																																																																						
YKL024C									0.40																																																																																													
YKL026C																																																																																																						
YKL029C		0.00			0.40	1.00		0.40	0.40	0.40		0.40	0.40	0.40	0.40	0.40	0.40	0.00	0.40	0.00		1.00		0.40	0.40	0.40	0.40		0.40		0.40		0.40								0.40		0.40		0.00			0.40		0.40				1.00			0.40	0.40			0.00	0.40	1.00	0.40		0.40	0.40	0.40	0.40	0.40			0.40	0.40	0.00	0.00	1.00	0.40	0.40	1.00		0.40	0.40	0.00		0.40				1.00			0.40	0.40		0.00	0.00		0.40		0.40	
YKL035W																																																																																																						
YKL055C																																																																																																						
YKL060C																																																																																																						
YKL067W																																															0.40	0.40					0.40																		0.40										0.40										0.40											
YKL080W																																																																																																						
YKL085W					0.40					0.40		0.40	0.40	0.40	0.40				0.40						0.40	0.40	0.40		0.40				0.40								0.40															0.40	0.40	0.40						0.40		0.40	0.40	0.40	0.40					0.40				0.40	0.40							0.40							0.40						0.40		0.40	
YKL088W																																																																																																						
YKL094W																																																																																																						
YKL104C																																																																																																						
YKL106W																																																																																																						
YKL120W																																																																																																						
YKL127W																																																																																																						
YKL132C																																																																																																						
YKL140W																																																																																																						
YKL141W																																																																																																						
YKL146W																																																																																																						
YKL148C																																																																																																						
YKL152C																																																																																																						
YKL165C																																																																																																						
YKL181W																																											1.00			1.00																																																		1.00						
YKL182W																																																																																																						
YKL184W																																																																							0.00									1.00																						
YKL188C																																																																																																						
YKL192C																																																																																																						
YKL194C																																																																																																						
YKL211C																																																																																																1.00						
YKL212W																																																																																																						
YKL216W																																																																																																						
YKL217W																																																																																																						
YKR009C																																																																																																						
YKR031C																																																																																																						
YKR039W																																																																																																						
YKR043C																																																																																																						
YKR053C																																																																																																						
YKR058W																																																																																																						
YKR061W																																																																																																						
YKR066C																																																																																																						
YKR067W																																																																																																						
YKR069W																																																																																																						
YKR072C																																																																																																						
YKR080W																																																																																																						
YKR089C																																																																																																						
YKR097W																																																																																																						
YLL012W																																																																																																						
YLL015W																																																																																																						
YLL018C																																																																																																						
YLL028W																																																																																																						
YLL031C																																																																																																						
YLL041C																																																																																																						
YLL043W																																																																																																						
YLL048C																																																																																																						
YLL052C																																																																																																						
YLL057C																																																																								0.00																														
YLL061W																																																																																																						
YLL062C																																																																																																						
YLR011W																																																																																																						
YLR017W																																																																																																						
YLR020C																																																																																																						
YLR027C																																																																																																						
YLR028C																																																																																																						
YLR038C																																																																																																						
YLR043C																																																																																							0.00											0.00				
YLR044C																	1.00														1.00								0.00														1.00																	1.00			1.00											1.00	1.00																	
YLR056W																																																																																																						
YLR058C									0.40																												0.40										0.40						0.40												0.40						0.40																													0.40		
YLR060W																																																																																																						
YLR070C																																																																																																						
YLR081W																																																																																																						
YLR089C																																																																																																						
YLR092W																																																																																																						
YLR100W																																																																																																						
YLR109W																																																																																																						
YLR133W																	0.00																																																	0.00					0.00																0.00												0.00			
YLR134W																																							0.00																																																															
YLR138W																																																																																																						
YLR142W																																																																																																						
YLR146C																																																																																																						
YLR153C																															1.00								1.00			1.00											1.00												0.40					1.00			1.00																		0.40											
YLR155C																																																																																							0.00											0.00				
YLR157C																																																																																							0.00											0.00				
YLR158C																																																																																							0.00											0.00				
YLR160C																																																																																							0.00											0.00				
YLR172C																																																																																																						
YLR174W														0.40																																																																					0.40																			0.40
YLR180W																												1.00																																																																										
YLR189C																												0.00																																																																										
YLR201C																																																																																																						
YLR209C																																																																																																						
YLR231C																																																																																																						
YLR237W																																																																																																						
YLR240W																																																																																																						
YLR245C																																																																																																						
YLR258W																																																																																																						
YLR260W																																																																																																						
YLR284C																																																																																																						
YLR285W																																																																																																						
YLR295C																																														1.00																																																								
YLR299W			0.00																																		0.00																																																																	
YLR300W																																																																																																						
YLR303W																																																																																																						
YLR304C																																																																																																						
