# TO BE USED TO INSERT MODEL ANNOTATIONS IN METABOLIC ATLAS DATABASE
# for GENES ONLY
# annotations will be visible in the GEM browser pages and some can be used by the search engine
#
# some rules:
# this is a TAB separated file, thus TABs are not allowed in any field values
# each line added must have exactly 7 columns to be parsed properly
# do not modify the @ line
# column 'id' is mandatory, other columns are optional
# follow the max size limits
#
# columns description:
# column name        | description
# ---------------------------------------------
# name               | primary name/symbol of the gene
# alternate_name     | long name or full name of the gene
# aliases            | list of aliases, semi-colon separated values
# function           | text about the function, can describe multiple functions
# ec                 | EC code, semi-colon separated values
# catalytic_activity | text about the catalytic activity
#
@id	name	alternate_name	aliases	function	ec	catalytic_activity
ENSG00000001036	FUCA2	alpha-L-fucosidase 2	dJ20N2.5; MGC1314			
ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit	GCS; GLCL; GLCLC			
ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1	CP51; CYP51; CYPL1; LDM; P450-14DM; P450L1			
ENSG00000002549	LAP3	leucine aminopeptidase 3	LAP; LAPEP; PEPS			
ENSG00000002587	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1	3OST1			
ENSG00000002726	AOC1	amine oxidase, copper containing 1	ABP1; DAO			
ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	KIAA0322; NEDL1			
ENSG00000003137	CYP26B1	cytochrome P450 family 26 subfamily B member 1	P450RAI-2			
ENSG00000003987	MTMR7	myotubularin related protein 7				
ENSG00000003989	SLC7A2	solute carrier family 7 member 2	ATRC2; CAT-2; HCAT2			
ENSG00000004455	AK2	adenylate kinase 2				
ENSG00000004468	CD38	CD38 molecule				
ENSG00000004478	FKBP4	FK506 binding protein 4	FKBP52; FKBP59			
ENSG00000004660	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1	CAMKKA; DKFZp761M0423; MGC34095			
ENSG00000004779	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	ACP; ACP1; FASN2A; SDAP			
ENSG00000004799	PDK4	pyruvate dehydrogenase kinase 4				
ENSG00000004809	SLC22A16	solute carrier family 22 member 16	CT2; FLIPT2; OAT6; OKB1			
ENSG00000004864	SLC25A13	solute carrier family 25 member 13	ARALAR2; CITRIN; CTLN2			
ENSG00000004939	SLC4A1	solute carrier family 4 member 1 (Diego blood group)	AE1; CD233; DI; EPB3; FR; RTA1A; SW; WD; WR			
ENSG00000004961	HCCS	holocytochrome c synthase	CCHL; MLS			
ENSG00000005022	SLC25A5	solute carrier family 25 member 5	2F1; ANT2; T2; T3			
ENSG00000005075	POLR2J	RNA polymerase II subunit J	hRPB14; POLR2J1; RPB11; RPB11A; RPB11m			
ENSG00000005187	ACSM3	acyl-CoA synthetase medium chain family member 3	SA; SAH			
ENSG00000005249	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta	PRKAR2			
ENSG00000005339	CREBBP	CREB binding protein	CBP; KAT3A; RSTS; RTS			
ENSG00000005381	MPO	myeloperoxidase				
ENSG00000005421	PON1	paraoxonase 1	ESA; PON			
ENSG00000005469	CROT	carnitine O-octanoyltransferase	COT			
ENSG00000005471	ABCB4	ATP binding cassette subfamily B member 4	GBD1; MDR2; MDR3; PFIC-3; PGY3			
ENSG00000005483	KMT2E	lysine methyltransferase 2E	HDCMC04P; MLL5			
ENSG00000005810	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	FLJ10106; KIAA0916; PAM			
ENSG00000005882	PDK2	pyruvate dehydrogenase kinase 2	PDHK2			
ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1	MIR16			
ENSG00000006062	MAP3K14	mitogen-activated protein kinase kinase kinase 14	FTDCR1B; HS; HSNIK; NIK			
ENSG00000006071	ABCC8	ATP binding cassette subfamily C member 8	ABC36; HHF1; HI; HRINS; MRP8; PHHI; SUR; SUR1; TNDM2			
ENSG00000006432	MAP3K9	mitogen-activated protein kinase kinase kinase 9	MEKK9; MLK1; PRKE1			
ENSG00000006530	AGK	acylglycerol kinase	FLJ10842; MULK			
ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family member B1	ALDH7			
ENSG00000006625	GGCT	gamma-glutamylcyclotransferase	C7orf24; CRF21; GCTG; Ggc; MGC3077			
ENSG00000006695	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10				
ENSG00000006756	ARSD	arylsulfatase D				
ENSG00000006757	PNPLA4	patatin like phospholipase domain containing 4	DXS1283E; GS2; iPLA2eta			
ENSG00000006837	CDKL3	cyclin dependent kinase like 3	NKIAMRE			
ENSG00000007001	UPP2	uridine phosphorylase 2	UDRPASE2; UP2; UPASE2			
ENSG00000007047	MARK4	microtubule affinity regulating kinase 4	FLJ90097; KIAA1860; MARKL1; Nbla00650; PAR-1D			
ENSG00000007168	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	LIS1; MDCR; MDS; NudF; PAFAH			
ENSG00000007171	NOS2	nitric oxide synthase 2	HEP-NOS; iNOS; NOS; NOS2A			
ENSG00000007216	SLC13A2	solute carrier family 13 member 2	NaDC-1			
ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase	CHK; CTK; DKFZp434N1212; HHYLTK; HYL; HYLTK; Lsk; MGC1708; MGC2101			
ENSG00000007350	TKTL1	transketolase like 1	TKR; TKT2			
ENSG00000007541	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q	GPI1; hGPI1			
ENSG00000007933	FMO3	flavin containing monooxygenase 3				
ENSG00000007944	MYLIP	myosin regulatory light chain interacting protein	IDOL; MIR			
ENSG00000008086	CDKL5	cyclin dependent kinase like 5	CFAP247; EIEE2; STK9			
ENSG00000008118	CAMK1G	calcium/calmodulin dependent protein kinase IG	CLICKIII; dJ272L16.1; VWS1			
ENSG00000008128	CDK11A	cyclin dependent kinase 11A	CDC2L2; CDC2L3; CDK11-p110; CDK11-p46; CDK11-p58; p58GTA; PITSLRE			
ENSG00000008130	NADK	NAD kinase	FLJ13052			
ENSG00000008300	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	ADGRC3; CDHF11; EGFL1; FMI1; HFMI1; MEGF2			
ENSG00000008311	AASS	aminoadipate-semialdehyde synthase	LKRSDH; LORSDH			
ENSG00000008394	MGST1	microsomal glutathione S-transferase 1	GST12; MGST-I			
ENSG00000008438	PGLYRP1	peptidoglycan recognition protein 1	PGLYRP; PGRP; PGRP-S; PGRPS; TAG7; TNFSF3L			
ENSG00000008513	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	SIAT4A; SIATFL; ST3GalA.1; ST3O			
ENSG00000009335	UBE3C	ubiquitin protein ligase E3C	KIAA0010; KIAA10			
ENSG00000009413	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit	POLZ; REV3			
ENSG00000009830	POMT2	protein O-mannosyltransferase 2	LGMD2N			
ENSG00000010165	EEF1AKNMT	eEF1A lysine and N-terminal methyltransferase	CGI-01; DFNB26; KIAA0859; METTL13			
ENSG00000010219	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4				
ENSG00000010256	UQCRC1	ubiquinol-cytochrome c reductase core protein 1	D3S3191; QCR1; UQCR1			
ENSG00000010379	SLC6A13	solute carrier family 6 member 13	GAT2			
ENSG00000010404	IDS	iduronate 2-sulfatase	SIDS			
ENSG00000010671	BTK	Bruton tyrosine kinase	AGMX1; ATK; IMD1; PSCTK1; XLA			
ENSG00000010810	FYN	FYN proto-oncogene, Src family tyrosine kinase	MGC45350; SLK; SYN			
ENSG00000010932	FMO1	flavin containing monooxygenase 1				
ENSG00000011009	LYPLA2	lysophospholipase II	APT-2			
ENSG00000011052	NME1-NME2	NME1-NME2 readthrough	NM23-LV; NMELV			
ENSG00000011083	SLC6A7	solute carrier family 6 member 7	PROT			
ENSG00000011198	ABHD5	abhydrolase domain containing 5	CGI-58; NCIE2			
ENSG00000011275	RNF216	ring finger protein 216	TRIAD3; UBCE7IP1; ZIN			
ENSG00000011405	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	PI3K-C2alpha			
ENSG00000011485	PPP5C	protein phosphatase 5 catalytic subunit	PP5; PPP5			
ENSG00000011566	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3	GLK; MAPKKKK3; RAB8IPL1			
ENSG00000012232	EXTL3	exostosin like glycosyltransferase 3	botv; REGR			
ENSG00000012660	ELOVL5	ELOVL fatty acid elongase 5	dJ483K16.1; HELO1; SCA38			
ENSG00000012779	ALOX5	arachidonate 5-lipoxygenase	5-LOX			
ENSG00000012963	UBR7	ubiquitin protein ligase E3 component n-recognin 7 (putative)	C14orf130			
ENSG00000012983	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	GCKR; KHS; KHS1			
ENSG00000013288	MAN2B2	mannosidase alpha class 2B member 2	KIAA0935			
ENSG00000013375	PGM3	phosphoglucomutase 3	AGM1; DKFZP434B187; PAGM			
ENSG00000013392	RWDD2A	RWD domain containing 2A	dJ747H23.2; MGC13523; RWDD2			
ENSG00000013441	CLK1	CDC like kinase 1				
ENSG00000013503	POLR3B	RNA polymerase III subunit B	FLJ10388; RPC2			
ENSG00000013561	RNF14	ring finger protein 14	ARA54; HFB30; TRIAD2			
ENSG00000014138	POLA2	DNA polymerase alpha 2, accessory subunit	FLJ21662			
ENSG00000014257	ACPP	acid phosphatase, prostate	ACP-3; ACP3; PAP			
ENSG00000014641	MDH1	malate dehydrogenase 1				
ENSG00000014919	COX15	cytochrome c oxidase assembly homolog COX15	CEMCOX2			
ENSG00000015413	DPEP1	dipeptidase 1				
ENSG00000015520	NPC1L1	NPC1 like intracellular cholesterol transporter 1	SLC65A2			
ENSG00000015532	XYLT2	xylosyltransferase 2	PXYLT2; XT-II			
ENSG00000016391	CHDH	choline dehydrogenase				
ENSG00000016864	GLT8D1	glycosyltransferase 8 domain containing 1	AD-017; FLJ14611			
ENSG00000017260	ATP2C1	ATPase secretory pathway Ca2+ transporting 1	ATP2C1A; BCPM; KIAA1347; PMR1; SPCA1			
ENSG00000017483	SLC38A5	solute carrier family 38 member 5	JM24; SN2			
ENSG00000017797	RALBP1	ralA binding protein 1	RIP; RIP1; RLIP76			
ENSG00000018280	SLC11A1	solute carrier family 11 member 1	LSH; NRAMP; NRAMP1			
ENSG00000018510	AGPS	alkylglycerone phosphate synthase	ADAP-S; ADAS; ADHAPS; ADPS; ALDHPSY			
ENSG00000018625	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	FHM2; MHP2			
ENSG00000019186	CYP24A1	cytochrome P450 family 24 subfamily A member 1	CP24; CYP24; P450-CC24			
ENSG00000021461	CYP3A43	cytochrome P450 family 3 subfamily A member 43				
ENSG00000021488	SLC7A9	solute carrier family 7 member 9	CSNU3			
ENSG00000021826	CPS1	carbamoyl-phosphate synthase 1				
ENSG00000023041	ZDHHC6	zinc finger DHHC-type containing 6	FLJ21952; ZNF376			
ENSG00000023228	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	CI-75k			
ENSG00000023330	ALAS1	5'-aminolevulinate synthase 1	ALAS; ALAS3			
ENSG00000023572	GLRX2	glutaredoxin 2	bA101E13.1; GRX2			
ENSG00000023697	DERA	deoxyribose-phosphate aldolase	CGI-26; DEOC			
ENSG00000023839	ABCC2	ATP binding cassette subfamily C member 2	CMOAT; cMRP; DJS; MRP2			
ENSG00000023909	GCLM	glutamate-cysteine ligase modifier subunit	GLCLR			
ENSG00000024048	UBR2	ubiquitin protein ligase E3 component n-recognin 2	bA49A4.1; C6orf133; dJ392M17.3; KIAA0349			
ENSG00000025423	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6	HSE; RODH; SDR9C6			
ENSG00000025708	TYMP	thymidine phosphorylase	ECGF1; MNGIE			
ENSG00000025800	KPNA6	karyopherin subunit alpha 6	FLJ11249; IPOA7; KPNA7; MGC17918			
ENSG00000026103	FAS	Fas cell surface death receptor	APO-1; APT1; CD95; FAS1; TNFRSF6			
ENSG00000026652	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	dJ473J16.2; LPAAT-delta			
ENSG00000027075	PRKCH	protein kinase C eta	PKC-L; PKCL; PRKCL			
ENSG00000027644	INSRR	insulin receptor related receptor	IRR			
ENSG00000027847	B4GALT7	beta-1,4-galactosyltransferase 7	beta4Gal-T7; XGALT-1			
ENSG00000028116	VRK2	VRK serine/threonine kinase 2				
ENSG00000029639	TFB1M	transcription factor B1, mitochondrial	CGI-75; mtTFB			
ENSG00000030066	NUP160	nucleoporin 160	FLJ22583; KIAA0197			
ENSG00000030304	MUSK	muscle associated receptor tyrosine kinase				
ENSG00000031698	SARS	seryl-tRNA synthetase	SERS			
ENSG00000032444	PNPLA6	patatin like phospholipase domain containing 6	iPLA2delta; NTE; SPG39; sws			
ENSG00000033011	ALG1	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	CDG1K; HMAT1; HMT-1; Mat-1			
ENSG00000033100	CHPF2	chondroitin polymerizing factor 2	ChSy-3; CSGlcA-T; KIAA1402			
ENSG00000033170	FUT8	fucosyltransferase 8				
ENSG00000033178	UBA6	ubiquitin like modifier activating enzyme 6	FLJ10808; UBE1L2			
ENSG00000033627	ATP6V0A1	ATPase H+ transporting V0 subunit a1	a1; ATP6N1; ATP6N1A; Stv1; Vph1; VPP1			
ENSG00000033867	SLC4A7	solute carrier family 4 member 7	NBC3; SBC2; SLC4A6			
ENSG00000034152	MAP2K3	mitogen-activated protein kinase kinase 3	MAPKK3; MEK3; MKK3; PRKMK3			
ENSG00000034677	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase	DKFZp566B1346; dorfin; RNF19			
ENSG00000035664	DAPK2	death associated protein kinase 2	DRP-1; MGC119312			
ENSG00000035687	ADSS	adenylosuccinate synthase				
ENSG00000036473	OTC	ornithine carbamoyltransferase				
ENSG00000036530	CYP46A1	cytochrome P450 family 46 subfamily A member 1	CYP46			
ENSG00000036565	SLC18A1	solute carrier family 18 member A1	CGAT; VAT1; VMAT1			
ENSG00000036672	USP2	ubiquitin specific peptidase 2	UBP41			
ENSG00000037280	FLT4	fms related tyrosine kinase 4	PCL; VEGFR3			
ENSG00000037757	MRI1	methylthioribose-1-phosphate isomerase 1	MGC3207; MRDI; mtnA; Ypr118w			
ENSG00000037897	METTL1	methyltransferase like 1	C12orf1; TRM8; TRMT8			
ENSG00000038002	AGA	aspartylglucosaminidase	ASRG			
ENSG00000038210	PI4K2B	phosphatidylinositol 4-kinase type 2 beta	FLJ11105; PI4KIIB; PIK42B			
ENSG00000038274	MAT2B	methionine adenosyltransferase 2B	MATIIbeta; SDR23E1			
ENSG00000038382	TRIO	trio Rho guanine nucleotide exchange factor	ARHGEF23			
ENSG00000039123	MTREX	Mtr4 exosome RNA helicase	Dob1; fSAP118; KIAA0052; Mtr4; SKIV2L2			
ENSG00000039650	PNKP	polynucleotide kinase 3'-phosphatase	PNK			
ENSG00000040199	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	KIAA0931; PHLPPL; PPM3B			
ENSG00000040933	INPP4A	inositol polyphosphate-4-phosphatase type I A	INPP4			
ENSG00000041880	PARP3	poly(ADP-ribose) polymerase family member 3	ADPRT3; ADPRTL3; hPARP-3; IRT1; pADPRT-3			
ENSG00000043514	TRIT1	tRNA isopentenyltransferase 1	FLJ20061; IPT			
ENSG00000044446	PHKA2	phosphorylase kinase regulatory subunit alpha 2	PHK; PYK			
ENSG00000044524	EPHA3	EPH receptor A3	ETK; ETK1; HEK; HEK4; TYRO4			
ENSG00000047230	CTPS2	CTP synthase 2				
ENSG00000047249	ATP6V1H	ATPase H+ transporting V1 subunit H	CGI-11; SFD; SFDalpha; SFDbeta; VMA13			
ENSG00000047315	POLR2B	RNA polymerase II subunit B	RPB2			
ENSG00000047457	CP	ceruloplasmin				
ENSG00000047936	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	c-ros-1; MCF3; ROS			
ENSG00000048028	USP28	ubiquitin specific peptidase 28	KIAA1515			
ENSG00000048392	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B	p53R2			
ENSG00000049239	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	GDH			
ENSG00000049759	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase	KIAA0439; NEDD4-2; RSP5			
ENSG00000049860	HEXB	hexosaminidase subunit beta				
ENSG00000050438	SLC4A8	solute carrier family 4 member 8	NBC3			
ENSG00000050748	MAPK9	mitogen-activated protein kinase 9	JNK2; p54a; PRKM9; SAPK			
ENSG00000051341	POLQ	DNA polymerase theta	POLH			
ENSG00000051382	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	PIK3C1			
ENSG00000052802	MSMO1	methylsterol monooxygenase 1	DESP4; ERG25; SC4MOL			
ENSG00000053371	AKR7A2	aldo-keto reductase family 7 member A2	AFAR			
ENSG00000054148	PHPT1	phosphohistidine phosphatase 1	bA216L13.10; CGI-202; DKFZp564M173; HSPC141; PHP14			
ENSG00000054179	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	CD39L1; NTPDase-2			
ENSG00000054267	ARID4B	AT-rich interaction domain 4B	BCAA; BRCAA1; RBP1L1; SAP180			
ENSG00000054356	PTPRN	protein tyrosine phosphatase, receptor type N	IA-2; ICA512			
ENSG00000054392	HHAT	hedgehog acyltransferase	FLJ10724; GUP2; MART-2; MART2; rasp; sit; ski; Skn			
ENSG00000054983	GALC	galactosylceramidase				
ENSG00000055332	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	EIF2AK1; PKR; PPP1R83; PRKR			
ENSG00000055483	USP36	ubiquitin specific peptidase 36	FLJ12851; KIAA1453			
ENSG00000055609	KMT2C	lysine methyltransferase 2C	HALR; KIAA1506; MLL3			
ENSG00000056998	GYG2	glycogenin 2	GN-2			
ENSG00000057252	SOAT1	sterol O-acyltransferase 1	ACAT; SOAT; STAT			
ENSG00000058056	USP13	ubiquitin specific peptidase 13	IsoT-3			
ENSG00000058091	CDK14	cyclin dependent kinase 14	PFTAIRE1; PFTK1			
ENSG00000058404	CAMK2B	calcium/calmodulin dependent protein kinase II beta	CAM2; CAMK2; CAMKB			
ENSG00000058600	POLR3E	RNA polymerase III subunit E	FLJ10509; RPC5; SIN			
ENSG00000058668	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	ATP2B2; MXRA1; PMCA4			
ENSG00000058729	RIOK2	RIO kinase 2	FLJ11159			
ENSG00000058866	DGKG	diacylglycerol kinase gamma	DAGK3			
ENSG00000059377	TBXAS1	thromboxane A synthase 1	CYP5; CYP5A1; THAS; TS; TXAS; TXS			
ENSG00000059378	PARP12	poly(ADP-ribose) polymerase family member 12	FLJ22693; PARP-12; ZC3H1; ZC3HDC1			
ENSG00000059573	ALDH18A1	aldehyde dehydrogenase 18 family member A1	GSAS; P5CS; PYCS; SPG9			
ENSG00000059588	TARBP1	TAR (HIV-1) RNA binding protein 1	TRM3; TRMT3; TRP-185			
ENSG00000059758	CDK17	cyclin dependent kinase 17	PCTAIRE2; PCTK2			
ENSG00000059804	SLC2A3	solute carrier family 2 member 3	GLUT3			
ENSG00000060069	CTDP1	CTD phosphatase subunit 1	FCP1			
ENSG00000060140	STYK1	serine/threonine/tyrosine kinase 1	DKFZp761P1010; NOK; SuRTK106			
ENSG00000060237	WNK1	WNK lysine deficient protein kinase 1	HSAN2; HSN2; PPP1R167; PRKWNK1			
ENSG00000060642	PIGV	phosphatidylinositol glycan anchor biosynthesis class V	FLJ20477			
ENSG00000060656	PTPRU	protein tyrosine phosphatase, receptor type U	FMI; hPTP-J; PCP-2; PTP; PTPRO			
ENSG00000060762	MPC1	mitochondrial pyruvate carrier 1	BRP44L; CGI-129; dJ68L15.3; SLC54A1			
ENSG00000060971	ACAA1	acetyl-CoA acyltransferase 1				
ENSG00000060982	BCAT1	branched chain amino acid transaminase 1	BCT1			
ENSG00000061918	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1	GC-S-beta-1; GC-SB3; GUC1B3; GUCY1B3			
ENSG00000061938	TNK2	tyrosine kinase non receptor 2	ACK; ACK1; p21cdc42Hs			
ENSG00000062282	DGAT2	diacylglycerol O-acyltransferase 2				
ENSG00000062485	CS	citrate synthase				
ENSG00000062524	LTK	leukocyte receptor tyrosine kinase	TYK1			
ENSG00000062822	POLD1	DNA polymerase delta 1, catalytic subunit	CDC2; POLD			
ENSG00000063176	SPHK2	sphingosine kinase 2				
ENSG00000063601	MTMR1	myotubularin related protein 1				
ENSG00000063854	HAGH	hydroxyacylglutathione hydrolase	GLO2; GLXII; HAGH1			
ENSG00000064225	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	SIAT10; ST3GALVI			
ENSG00000064270	ATP2C2	ATPase secretory pathway Ca2+ transporting 2	KIAA0703; SPCA2			
ENSG00000064393	HIPK2	homeodomain interacting protein kinase 2				
ENSG00000064601	CTSA	cathepsin A	GSL; PPGB			
ENSG00000064651	SLC12A2	solute carrier family 12 member 2	BSC; BSC2; NKCC1; PPP1R141			
ENSG00000064655	EYA2	EYA transcriptional coactivator and phosphatase 2	EAB1			
ENSG00000064763	FAR2	fatty acyl-CoA reductase 2	FLJ10462; MLSTD1; SDR10E2			
ENSG00000065154	OAT	ornithine aminotransferase	HOGA			
ENSG00000065243	PKN2	protein kinase N2	Pak-2; PRK2; PRKCL2; STK7			
ENSG00000065357	DGKA	diacylglycerol kinase alpha	DAGK; DAGK1; DGK-alpha			
ENSG00000065361	ERBB3	erb-b2 receptor tyrosine kinase 3	HER3; LCCS2			
ENSG00000065427	KARS	lysyl-tRNA synthetase	DFNB89; KARS1; KARS2			
ENSG00000065485	PDIA5	protein disulfide isomerase family A member 5	FLJ30401; PDIR			
ENSG00000065518	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	B15			
ENSG00000065534	MYLK	myosin light chain kinase	MLCK; MLCK1; MYLK1; smMLCK			
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4	JNKK1; MEK4; MKK4; PRKMK4; SERK1			
ENSG00000065613	SLK	STE20 like kinase	KIAA0204; se20-9; STK2			
ENSG00000065615	CYB5R4	cytochrome b5 reductase 4	b5+b5R; dJ676J13.1; NCB5OR			
ENSG00000065621	GSTO2	glutathione S-transferase omega 2				
ENSG00000065675	PRKCQ	protein kinase C theta				
ENSG00000065833	ME1	malic enzyme 1				
ENSG00000065883	CDK13	cyclin dependent kinase 13	CDC2L; CDC2L5; CHED; KIAA1791			
ENSG00000065911	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase				
ENSG00000065923	SLC9A7	solute carrier family 9 member A7	NHE7			
ENSG00000065989	PDE4A	phosphodiesterase 4A	DPDE2			
ENSG00000066056	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	JTK14; TIE			
ENSG00000066230	SLC9A3	solute carrier family 9 member A3	NHE3			
ENSG00000066322	ELOVL1	ELOVL fatty acid elongase 1	Ssc1			
ENSG00000066379	ZNRD1	zinc ribbon domain containing 1	HTEX-6; hZR14; RPA12; tctex-6			
ENSG00000066468	FGFR2	fibroblast growth factor receptor 2	BEK; CD332; CEK3; CFD1; ECT1; JWS; K-SAM; KGFR; TK14; TK25			
ENSG00000066651	TRMT11	tRNA methyltransferase 11 homolog	C6orf75; dJ187J11.2; MDS024; TRM11; TRMT11-1			
ENSG00000066813	ACSM2B	acyl-CoA synthetase medium chain family member 2B	ACSM2; HXMA; HYST1046			
ENSG00000066926	FECH	ferrochelatase				
ENSG00000067057	PFKP	phosphofructokinase, platelet	PFK-C; PFKF			
ENSG00000067064	IDI1	isopentenyl-diphosphate delta isomerase 1				
ENSG00000067113	PLPP1	phospholipid phosphatase 1	LPP1; PAP-2a; PPAP2A			
ENSG00000067177	PHKA1	phosphorylase kinase regulatory subunit alpha 1	PHKA			
ENSG00000067225	PKM	pyruvate kinase M1/2	OIP3; PK3; PKM2; THBP1			
ENSG00000067365	METTL22	methyltransferase like 22	C16orf68; FLJ12433,MGC2654			
ENSG00000067606	PRKCZ	protein kinase C zeta	PKC2			
ENSG00000067829	IDH3G	isocitrate dehydrogenase 3 (NAD(+)) gamma				
ENSG00000067840	PDZD4	PDZ domain containing 4	FLJ34125; KIAA1444; LNX5; LU1; PDZK4; PDZRN4L			
ENSG00000067842	ATP2B3	ATPase plasma membrane Ca2+ transporting 3	CFAP39; CLA2; PMCA3; SCAX1			
ENSG00000067900	ROCK1	Rho associated coiled-coil containing protein kinase 1	p160ROCK			
ENSG00000067992	PDK3	pyruvate dehydrogenase kinase 3				
ENSG00000068001	HYAL2	hyaluronidase 2	LuCa-2; LUCA2			
ENSG00000068078	FGFR3	fibroblast growth factor receptor 3	ACH; CD333; CEK2; JTK4			
ENSG00000068120	COASY	Coenzyme A synthase	CoASY; DPCK; NBP; PPAT			
ENSG00000068308	OTUD5	OTU deubiquitinase 5	DKFZp761A052; DUBA			
ENSG00000068366	ACSL4	acyl-CoA synthetase long chain family member 4	ACS4; FACL4; LACS4; MRX63; MRX68			
ENSG00000068383	INPP5A	inositol polyphosphate-5-phosphatase A	5PTASE			
ENSG00000068438	FTSJ1	FtsJ RNA methyltransferase homolog 1	CDLIV; JM23; MRX44; MRX9; SPB1; TRM7; TRMT7			
ENSG00000068650	ATP11A	ATPase phospholipid transporting 11A	ATPIH; ATPIS; KIAA1021			
ENSG00000068654	POLR1A	RNA polymerase I subunit A	DKFZP586M0122; FLJ21915; RPA1; RPO1-4			
ENSG00000068745	IP6K2	inositol hexakisphosphate kinase 2	IHPK2			
